Date,Hour,Temp
2016-02-03,13,55.9
2016-02-03,14,58.0
2016-02-03,15,56.7
2016-02-03,16,55.5
2016-02-03,17,54.2
2016-02-03,18,52.9
2016-02-03,19,51.7
2016-02-03,20,50.4
2016-02-03,21,49.1
2016-02-03,22,47.9
2016-02-03,23,46.6
2016-02-04,00,42.3
2016-02-04,01,40.7
2016-02-04,02,39.0
2016-02-04,03,37.3
2016-02-04,04,35.7
2016-02-04,05,34.0
2016-02-04,06,36.8
2016-02-04,07,39.6
2016-02-04,08,42.3
2016-02-04,09,45.1
2016-02-04,10,47.9
2016-02-04,11,50.7
2016-02-04,12,53.4
2016-02-04,13,56.2
2016-02-04,14,59.0
2016-02-04,15,57.3
2016-02-04,16,55.7
2016-02-04,17,54.0
2016-02-04,18,52.3
2016-02-04,19,50.7
2016-02-04,20,49.0
2016-02-04,21,47.3
2016-02-04,22,45.7
2016-02-04,23,44.0
2016-02-05,00,42.7
2016-02-05,01,40.7
2016-02-05,02,38.8
2016-02-05,03,36.9
2016-02-05,04,34.9
2016-02-05,05,33.0
2016-02-05,06,36.2
2016-02-05,07,39.4
2016-02-05,08,42.7
2016-02-05,09,45.9
2016-02-05,10,49.1
2016-02-05,11,52.3
2016-02-05,12,55.6
2016-02-05,13,58.8
2016-02-05,14,62.0
2016-02-05,15,60.1
2016-02-05,16,58.1
2016-02-05,17,56.2
2016-02-05,18,54.3
2016-02-05,19,52.3
2016-02-05,20,50.4
2016-02-05,21,48.5
2016-02-05,22,46.5
2016-02-05,23,44.6
2016-02-06,00,46.0
2016-02-06,01,44.6
2016-02-06,02,43.2
2016-02-06,03,41.8
2016-02-06,04,40.4
2016-02-06,05,39.0
2016-02-06,06,41.3
2016-02-06,07,43.7
2016-02-06,08,46.0
2016-02-06,09,48.3
2016-02-06,10,50.7
2016-02-06,11,53.0
2016-02-06,12,55.3
2016-02-06,13,57.7
2016-02-06,14,60.0
2016-02-06,15,58.6
2016-02-06,16,57.2
2016-02-06,17,55.8
2016-02-06,18,54.4
2016-02-06,19,53.0
2016-02-06,20,51.6
2016-02-06,21,50.2
2016-02-06,22,48.8
2016-02-06,23,47.4
2016-02-07,00,44.0
2016-02-07,01,41.6
2016-02-07,02,39.2
2016-02-07,03,36.8
2016-02-07,04,34.4
2016-02-07,05,32.0
2016-02-07,06,36.0
2016-02-07,07,40.0
2016-02-07,08,44.0
2016-02-07,09,48.0
2016-02-07,10,52.0
2016-02-07,11,56.0
2016-02-07,12,60.0
2016-02-07,13,64.0
2016-02-07,14,68.0
2016-02-07,15,65.6
2016-02-07,16,63.2
2016-02-07,17,60.8
2016-02-07,18,58.4
2016-02-07,19,56.0
2016-02-07,20,53.6
2016-02-07,21,51.2
2016-02-07,22,48.8
2016-02-07,23,46.4
2016-02-08,00,52.3
2016-02-08,01,51.1
2016-02-08,02,49.8
2016-02-08,03,48.5
2016-02-08,04,47.3
2016-02-08,05,46.0
2016-02-08,06,48.1
2016-02-08,07,50.2
2016-02-08,08,52.3
2016-02-08,09,54.4
2016-02-08,10,56.6
2016-02-08,11,58.7
2016-02-08,12,60.8
2016-02-08,13,62.9
2016-02-08,14,65.0
2016-02-08,15,63.7
2016-02-08,16,62.5
2016-02-08,17,61.2
2016-02-08,18,59.9
2016-02-08,19,58.7
2016-02-08,20,57.4
2016-02-08,21,56.1
2016-02-08,22,54.9
2016-02-08,23,53.6
2016-02-09,00,50.7
2016-02-09,01,48.3
2016-02-09,02,46.0
2016-02-09,03,43.7
2016-02-09,04,41.3
2016-02-09,05,39.0
2016-02-09,06,42.9
2016-02-09,07,46.8
2016-02-09,08,50.7
2016-02-09,09,54.6
2016-02-09,10,58.4
2016-02-09,11,62.3
2016-02-09,12,66.2
2016-02-09,13,70.1
2016-02-09,14,74.0
2016-02-09,15,71.7
2016-02-09,16,69.3
2016-02-09,17,67.0
2016-02-09,18,64.7
2016-02-09,19,62.3
2016-02-09,20,60.0
2016-02-09,21,57.7
2016-02-09,22,55.3
2016-02-09,23,53.0
2016-02-10,00,50.0
2016-02-10,01,47.6
2016-02-10,02,45.2
2016-02-10,03,42.8
2016-02-10,04,40.4
2016-02-10,05,38.0
2016-02-10,06,42.0
2016-02-10,07,46.0
2016-02-10,08,50.0
2016-02-10,09,54.0
2016-02-10,10,58.0
2016-02-10,11,62.0
2016-02-10,12,66.0
2016-02-10,13,70.0
2016-02-10,14,74.0
2016-02-10,15,71.6
2016-02-10,16,69.2
2016-02-10,17,66.8
2016-02-10,18,64.4
2016-02-10,19,62.0
2016-02-10,20,59.6
2016-02-10,21,57.2
2016-02-10,22,54.8
2016-02-10,23,52.4
2016-02-11,00,62.3
2016-02-11,01,60.3
2016-02-11,02,58.2
2016-02-11,03,56.1
2016-02-11,04,54.1
2016-02-11,05,52.0
2016-02-11,06,55.4
2016-02-11,07,58.9
2016-02-11,08,62.3
2016-02-11,09,65.8
2016-02-11,10,69.2
2016-02-11,11,72.7
2016-02-11,12,76.1
2016-02-11,13,79.6
2016-02-11,14,83.0
2016-02-11,15,80.9
2016-02-11,16,78.9
2016-02-11,17,76.8
2016-02-11,18,74.7
2016-02-11,19,72.7
2016-02-11,20,70.6
2016-02-11,21,68.5
2016-02-11,22,66.5
2016-02-11,23,64.4
2016-02-12,00,57.7
2016-02-12,01,55.5
2016-02-12,02,53.4
2016-02-12,03,51.3
2016-02-12,04,49.1
2016-02-12,05,47.0
2016-02-12,06,50.6
2016-02-12,07,54.1
2016-02-12,08,57.7
2016-02-12,09,61.2
2016-02-12,10,64.8
2016-02-12,11,68.3
2016-02-12,12,71.9
2016-02-12,13,75.4
2016-02-12,14,79.0
2016-02-12,15,76.9
2016-02-12,16,74.7
2016-02-12,17,72.6
2016-02-12,18,70.5
2016-02-12,19,68.3
2016-02-12,20,66.2
2016-02-12,21,64.1
2016-02-12,22,61.9
2016-02-12,23,59.8
2016-02-13,00,59.7
2016-02-13,01,58.1
2016-02-13,02,56.6
2016-02-13,03,55.1
2016-02-13,04,53.5
2016-02-13,05,52.0
2016-02-13,06,54.6
2016-02-13,07,57.1
2016-02-13,08,59.7
2016-02-13,09,62.2
2016-02-13,10,64.8
2016-02-13,11,67.3
2016-02-13,12,69.9
2016-02-13,13,72.4
2016-02-13,14,75.0
2016-02-13,15,73.5
2016-02-13,16,71.9
2016-02-13,17,70.4
2016-02-13,18,68.9
2016-02-13,19,67.3
2016-02-13,20,65.8
2016-02-13,21,64.3
2016-02-13,22,62.7
2016-02-13,23,61.2
2016-02-14,00,63.0
2016-02-14,01,61.8
2016-02-14,02,60.6
2016-02-14,03,59.4
2016-02-14,04,58.2
2016-02-14,05,57.0
2016-02-14,06,59.0
2016-02-14,07,61.0
2016-02-14,08,63.0
2016-02-14,09,65.0
2016-02-14,10,67.0
2016-02-14,11,69.0
2016-02-14,12,71.0
2016-02-14,13,73.0
